posted,neighborhood,post title,number bedrooms,sqft,URL,price,neighborhood_simplified
2022-03-15 15:42:00,(Coal Harbour - Vancouver City Of Vancouver,"Harbourside Park - Sunny, bright, 1BR condo available April 1st,  2022",1.0,520.0,https://vancouver.craigslist.org/van/apa/d/vancouver-harbourside-park-sunny-bright/7458755452.html,2100,Vancouver
2022-03-15 15:41:00,(Parkgate,Modern Garden suite (Utilities Inc),1.0,1000.0,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-outer-east-modern/7457556717.html,1600,
2022-03-15 15:40:00,(Vancouver City Of Vancouver,Downtown Robson 1 bed 1 bathroom Furnished,1.0,560.0,https://vancouver.craigslist.org/van/apa/d/vancouver-downtown-robson-bed-bathroom/7456110076.html,2480,Vancouver
2022-03-15 15:39:00,(Burquitlam Tricities,"$2,200 / 1br - 650ft2 - Furnished Short term, one bed apartment. April",1.0,,https://vancouver.craigslist.org/pml/apa/d/coquitlam-north-br-650ft2-furnished/7458754377.html,2200,
2022-03-15 15:38:00,(Se Marine Drive Chester Street City Of Vancouver,Fraser Commons New Townhouse,2.0,1059.0,https://vancouver.craigslist.org/van/apa/d/vancouver-fraser-commons-new-townhouse/7455724780.html,3195,Vancouver
2022-03-15 15:38:00,(Se Marine Drive Fraser Street City Of Vancouver,New SE Marine Drive 2bed 1 Bath,2.0,737.0,https://vancouver.craigslist.org/van/apa/d/vancouver-new-se-marine-drive-2bed-bath/7455728348.html,2550,Vancouver
2022-03-15 15:38:00,(Se Marine Drive Fraser Street City Of Vancouver,Fraser Commons New 2 Bed 2 Bath Condo,2.0,840.0,https://vancouver.craigslist.org/van/apa/d/vancouver-fraser-commons-new-bed-bath/7455731093.html,2771,Vancouver
2022-03-15 15:38:00,(Se Marine Drive Fraser Street City Of Vancouver,SE Marine Drive New 2 Bed 2 Bath plus Flex,2.0,832.0,https://vancouver.craigslist.org/van/apa/d/vancouver-se-marine-drive-new-bed-bath/7455742292.html,2800,Vancouver
2022-03-15 15:38:00,(Se Marine Drive Fraser Street City Of Vancouver,Brand New 3 Bedroom Luxury Condo,3.0,992.0,https://vancouver.craigslist.org/van/apa/d/vancouver-brand-new-bedroom-luxury-condo/7455745323.html,3299,Vancouver
2022-03-15 15:37:00,(Surrey Delta,3 BEDROOM 2 BATHROOM,3.0,1100.0,https://vancouver.craigslist.org/rds/apa/d/surrey-bedroom-bathroom/7458753567.html,1800,Surrey
2022-03-15 15:37:00,(1111 Alberni Street Best Address In Town May 1St!!!!!!!!!!!! City Of Vancouver,TOP OF THE WORLD furnished & really fab @ SHANGRI-LA,2.0,1445.0,https://vancouver.craigslist.org/van/apa/d/top-of-the-world-furnished-really-fab/7458753500.html,8500,Vancouver
2022-03-15 15:34:00,(Coquitlam,FULL RENO 2 BD CORNER UNIT WITH PATIO AVAILABALE NOW,2.0,1000.0,https://vancouver.craigslist.org/pml/apa/d/coquitlam-full-reno-bd-corner-unit-with/7458752357.html,2400,Coquitlam
2022-03-15 15:31:00,(Vancouver City Of Vancouver,Modern 1 Bedroom Suite with Flex Room Downtown Vancouver at Salt,1.0,664.0,https://vancouver.craigslist.org/van/apa/d/vancouver-modern-bedroom-suite-with/7458751037.html,2300,Vancouver
2022-03-15 15:31:00,(Maple Ridge Tricities,Gorgeous Suite on Rural Property,3.0,1050.0,https://vancouver.craigslist.org/pml/apa/d/mission-east-gorgeous-suite-on-rural/7453979339.html,1995,Maple Ridge
2022-03-15 15:31:00,(Vancouver City Of Vancouver,Beautiful Semi Furnished one bedroom high rise in Gastown!,1.0,682.0,https://vancouver.craigslist.org/van/apa/d/vancouver-beautiful-semi-furnished-one/7458750943.html,2300,Vancouver
2022-03-15 15:30:00,(Surrey Delta,Cozy Basement Suite Available Immediately,2.0,800.0,https://vancouver.craigslist.org/rds/apa/d/surrey-east-cozy-basement-suite/7457422333.html,1495,Surrey
2022-03-15 15:30:00,(Vancouver City Of Vancouver,DT Vancouver Studio Condo near Robson street,,450.0,https://vancouver.craigslist.org/van/apa/d/vancouver-dt-vancouver-studio-condo/7458750843.html,1600,Vancouver
2022-03-15 15:29:00,(Vancouver City Of Vancouver,Beautiful Water View Fully Furnished 2 BD + 2 Bath + 1 Den Yaletown,2.0,1078.0,https://vancouver.craigslist.org/van/apa/d/vancouver-beautiful-water-view-fully/7458750525.html,3300,Vancouver
2022-03-15 15:27:00,(Coquitlam Tricities,Lower level 3 bed 1 bath Suite 100% above ground,3.0,,https://vancouver.craigslist.org/pml/apa/d/coquitlam-lower-level-bed-bath-suite/7458749514.html,2750,Coquitlam
2022-03-15 15:26:00,(North Vancouver North Shore,Gorgeous  Water view  2 Bed 2 Bath renovated!,2.0,,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-gorgeous-water-view-bed/7458749097.html,3400,North Vancouver
2022-03-15 15:23:00,(West End City Of Vancouver,1 bedroom near Davie street,1.0,550.0,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-near-davie-street/7458748164.html,2100,Vancouver
2022-03-15 15:22:00,"(Vancouver, Bc City Of Vancouver","UBC, St. George School: Furnished 2 Bedroom Suite / Private Entrance /",2.0,980.0,https://vancouver.craigslist.org/van/apa/d/vancouver-ubc-st-george-school/7447652424.html,2650,Vancouver
2022-03-15 15:20:00,( Tricities,Beautiful 1 Bedroom+1 Large Den Burquitlam! 1 Parking+locker included!,1.0,590.0,https://vancouver.craigslist.org/pml/apa/d/coquitlam-beautiful-bedroom1-large-den/7458746821.html,2000,
2022-03-15 15:19:00,(Langley Delta,Recently Renovated - Cat Friendly,2.0,,https://vancouver.craigslist.org/rds/apa/d/langley-recently-renovated-cat-friendly/7458746044.html,1750,Langley
2022-03-15 15:18:00,(Mundy Park,Private One Bedroom Above Ground Suite - with kitchen and laundry,1.0,,https://vancouver.craigslist.org/pml/apa/d/coquitlam-private-one-bedroom-above/7458745939.html,1000,
2022-03-15 15:17:00,(2328  Cambridge  Street City Of Vancouver,"Sandringham :One  Bedroom  Apartment for Rent 1,700$  April  1st  or",1.0,536.0,https://vancouver.craigslist.org/van/apa/d/vancouver-sandringham-one-bedroom/7458745517.html,1700,Vancouver
2022-03-15 15:15:00,(West End City Of Vancouver,Palissade| Fully Furnished 1Bed+1Bath+Balcony w/lovely views+Utilities,1.0,550.0,https://vancouver.craigslist.org/van/apa/d/vancouver-palissade-fully-furnished/7458744496.html,1800,Vancouver
2022-03-15 15:14:00,(Vancouver City Of Vancouver,Available at Marine Gateway,1.0,535.0,https://vancouver.craigslist.org/van/apa/d/vancouver-available-at-marine-gateway/7458744224.html,1750,Vancouver
